id,name,group
n0,conversation,2
n1,William McCaskill,2
n2,humans,2
n3,life,2
n4,Earth,2
n5,question,2
n6,utopia,2
n7,reflection,2
n8,period,2
n9,scarcity,2
n10,kind,2
n11,problems,2
n12,today,2
n13,tens,2
n14,thousands,2
n15,years,2
n16,order,2
n17,lock,2
n18,actions,2
n19,stars,2
n20,value,2
n21,term,2
n22,Twitter,2
n23,beings,2
n24,way,2
n25,fights,2
n26,politics,2
n27,division,2
n28,discourse,2
n29,people,2
n30,credit,2
n31,descendants,2
n32,brains,2
n33,ideas,2
n34,stages,2
n35,mind,2
n36,lives,2
n37,views,2
n38,tendencies,2
n39,election,2
n40,challenge,2
n41,stage,2
n42,society,2
n43,deliberation,2
n44,future,2
n45,site,2
n46,canon,2
n47,values,2
n48,perspective,2
n49,truth,2
n50,tangents,2
n51,mechanism,2
n52,age,2
n53,technology,2
n54,exchange,2
n55,rules,2
n56,limits,2
n57,thoughts,2
n58,text,2
n59,media,2
n60,discussion,2
n61,characters,2
n62,information,2
n63,access,2
n64,words,2
n65,tone,2
n66,body,2
n67,language,2
n68,context,2
n69,partner,2
n70,stop,2
n71,end,2
n72,person,2
n73,state,2
n74,problem,2
n75,aspect,2
n76,Times,2
n77,Internet,2
n78,books,2
n79,editing,2
n80,immediacy,2
n81,nature,2
n82,mobs,2
n83,issue,2
n84,song,2
n85,selection,2
n86,effect,2
n87,outrage,2
n88,arousal,2
n89,tweet,2
n90,analysis,2
n91,form,2
n92,content,2
n93,terms,2
n94,moment,2
n95,podcasts,2
n96,hours,2
n97,depth,2
n98,nuance,2
n99,caveat,2
n100,communication,2
n101,snippets,2
n102,incentives,2
n103,length,2
n104,medium,2
n105,fact,2
n106,damn,2
n107,demand,2
n108,style,2
n109,Joe Rogan,2
n110,freedom,2
n111,try,2
n112,kinds,2
n113,ways,2
n114,People,2
n115,Akono Brian,2
n116,comedians,2
n117,aspects,2
n118,persists,2
n119,TV,2
n120,Netflix,2
n121,word,2
n122,sharing,2
n123,knowledge,2
n124,sword,2
n125,hand,2
n126,creativity,2
n127,race,2
n128,altricial,2
n129,advertisements,2
n130,altruism,2
n131,companies,2
n132,world,2
n133,Google,2
n134,source,2
n135,income,2
n136,criticism,2
n137,money,2
n138,company,2
n139,drama,2
n140,debate,2
n141,news,2
n142,platform,2
n143,business,2
n144,models,2
n145,opt,2
n146,subscription,2
n147,service,2
n148,issues,2
n149,incentive,2
n150,product,2
n151,users,2
n152,thing,2
n153,profit,2
n154,use,2
n155,cases,2
n156,theory,2
n157,Facebook,2
n158,example,2
n159,10 bucks,2
n160,bucks,2
n161,ads,2
n162,experience,2
n163,close to zero dollars,2
n164,dollars,2
n165,control,2
n166,data,2
n167,good,2
n168,psychology,2
n169,times,2
n170,narrative,2
n171,benefit,2
n172,doubt,2
n173,view,2
n174,privacy,2
n175,case,2
n176,preferences,2
n177,sorts,2
n178,services,2
n179,self,2
n180,report,2
n181,survey,2
n182,idea,2
n183,explanation,2
n184,externality,2
n185,coordination,2
n186,failure,2
n187,consumers,2
n188,difference,2
n189,governments,2
n190,track,2
n191,record,2
n192,history,2
n193,government,2
n194,event,2
n195,MIT,2
n196,group,2
n197,the Effective Altruism Club,2
n198,friends,2
n199,events,2
n200,movement,2
n201,core,2
n202,resources,2
n203,guess,2
n204,answers,2
n205,practice,2
n206,community,2
n207,attempts,2
n208,street,2
n209,charity,2
n210,place,2
n211,career,2
n212,field,2
n213,doctor,2
n214,nurse,2
n215,health,2
n216,care,2
n217,professional,2
n218,level,2
n219,rigor,2
n220,thinking,2
n221,lots,2
n222,areas,2
n223,course,2
n224,scam,2
n225,stakes,2
n226,sense,2
n227,population,2
n228,questions,2
n229,Number,2
n230,circumstances,2
n231,worth,2
n232,circumstance,2
n233,character,2
n234,evil,2
n235,angels,2
n236,tendency,2
n237,war,2
n238,metrics,2
n239,force,2
n240,nurture,2
n241,violence,2
n242,process,2
n243,evolution,2
n244,contrast,2
n245,hunter,2
n246,gatherers,2
n247,gatherer,2
n248,setting,2
n249,10 percent,2
n250,percent,2
n251,deaths,2
n252,murders,2
n253,societies,2
n254,conquer,2
n255,lands,2
n256,murder,2
n257,death,2
n258,rate,2
n259,mother,2
n260,causes,2
n261,situation,2
n262,Group,2
n263,wars,2
n264,communities,2
n265,portion,2
n266,opportunities,2
n267,behavior,2
n268,answer,2
n269,the Against Malaria Foundation,2
n270,line,2
n271,a few thousand dollars,2
n272,nonprofit,2
n273,reason,2
n274,facts,2
n275,malaria,2
n276,suffering,2
n277,goal,2
n278,step,2
n279,threshold,2
n280,inequality,2
n281,injustice,2
n282,definition,2
n283,fairness,2
n284,metric,2
n285,pits,2
n286,zero percent,2
n287,50 percent,2
n288,returns,2
n289,poverty,2
n290,one dollar,2
n291,dollar,2
n292,class,2
n293,States,2
n294,estimate,2
n295,economists,2
n296,log,2
n297,curve,2
n298,increase,2
n299,impact,2
n300,a thousand dollars,2
n301,two thousand dollars,2
n302,Impact,2
n303,one hundred thousand dollars,2
n304,members,2
n305,countries,2
n306,poor,2
n307,lifestyles,2
n308,arguments,2
n309,help,2
n310,research,2
n311,projects,2
n312,scale,2
n313,a.,2
n314,progress,2
n315,evidence,2
n316,organizations,2
n317,development,2
n318,list,2
n319,charities,2
n320,animal,2
n321,welfare,2
n322,risk,2
n323,topics,2
n324,groups,2
n325,a. Accounting,2
n326,conversion,2
n327,job,2
n328,comments,2
n329,area,2
n330,ideal,2
n331,risks,2
n332,argument,2
n333,evaluation,2
n334,absence,2
n335,linger,2
n336,story,2
n337,components,2
n338,donation,2
n339,plan,2
n340,bar,2
n341,about 20 percent,2
n342,philosophy,2
n343,logic,2
n344,path,2
n345,ethics,2
n346,chunk,2
n347,number,2
n348,-,2
n349,profits,2
n350,woman,2
n351,pause,2
n352,origins,2
n353,picture,2
n354,figures,2
n355,strands,2
n356,philosophers,2
n357,Toby Ord,2
n358,Oxford,2
n359,work,2
n360,Peter Singer,2
n361,Australian,2
n362,philosopher,2
n363,decades,2
n364,cost,2
n365,obligation,2
n366,child,2
n367,family,2
n368,planning,2
n369,pond,2
n370,suit,2
n371,at least 10 percent,2
n372,strand,2
n373,formation,2
n374,New York,2
n375,Holden,2
n376,Karnofsky,2
n377,Elie Hassenfeld,2
n378,hedge,2
n379,fund,2
n380,dudes,2
n381,Amazon,2
n382,reviews,2
n383,influences,2
n384,space,2
n385,Ayn Rand's,2
n386,arounds,2
n387,Objectivism,2
n388,espouses,2
n389,selfishness,2
n390,choice,2
n391,opposite,2
n392,morality,2
n393,objectivism,2
n394,connection,2
n395,philosophies,2
n396,interests,2
n397,beliefs,2
n398,egoism,2
n399,consequences,2
n400,Atlas Shrugged,2
n401,premise,2
n402,coincidence,2
n403,point,2
n404,connects,2
n405,objectors,2
n406,capitalism,2
n407,robots,2
n408,notion,2
n409,productivity,2
n410,boats,2
n411,result,2
n412,advantages,2
n413,strengths,2
n414,paths,2
n415,artist,2
n416,realm,2
n417,market,2
n418,failures,2
n419,externalities,2
n420,animals,2
n421,markets,2
n422,run,2
n423,power,2
n424,starting,2
n425,forces,2
n426,Capitalism,2
n427,swath,2
n428,conversations,2
n429,Rogan,2
n430,Sam Harris,2
n431,stuff,2
n432,YouTube,2
n433,swaths,2
n434,folks,2
n435,hypothesis,2
n436,divide,2
n437,the United States,2
n438,sides,2
n439,message,2
n440,extremist,2
n441,al-Amoudi Hate,2
n442,spectrum,2
n443,diversity,2
n444,viewpoints,2
n445,left,2
n446,right,2
n447,system,2
n448,root,2
n449,systems,2
n450,generations,2
n451,tactics,2
n452,response,2
n453,podcast,2
n454,fans,2
n455,set,2
n456,alpha,2
n457,Woman,2
n458,movie,2
n459,John Wick,2
n460,category,2
n461,strength,2
n462,sportsperson,2
n463,version,2
n464,man,2
n465,fear,2
n466,principle,2
n467,intuition,2
n468,detective,2
n469,personality,2
n470,scratch,2
n471,itch,2
