id,name,group
n0,conversation,2
n1,Yaron Brook,1
n2,question,2
n3,principles,2
n4,life,2
n5,art,2
n6,people,2
n7,sense,2
n8,mind,2
n9,order,2
n10,motions,2
n11,living,2
n12,secret,2
n13,tool,2
n14,values,2
n15,reason,2
n16,work,2
n17,math,2
n18,problems,2
n19,science,2
n20,programming,2
n21,energy,2
n22,focus,2
n23,concentration,2
n24,world,2
n25,lives,2
n26,suit,2
n27,moment,2
n28,ways,2
n29,condition,2
n30,consciousness,2
n31,student,2
n32,conditioning,2
n33,thing,2
n34,look,2
n35,cliche,2
n36,respect,2
n37,kind,2
n38,idea,2
n39,experience,2
n40,moments,2
n41,line,2
n42,emphasis,2
n43,problem,2
n44,source,2
n45,knowledge,2
n46,senses,2
n47,integration,2
n48,evidence,2
n49,stuff,2
n50,introspection,2
n51,reasoning,2
n52,means,2
n53,survival,2
n54,beings,2
n55,scientists,2
n56,Sam Harris,2
n57,program,2
n58,agriculture,2
n59,computers,2
n60,networks,2
n61,shows,2
n62,effort,2
n63,choice,2
n64,discovery,2
n65,Discover,2
n66,figure,2
n67,hunting,2
n68,movie,2
n69,bison,2
n70,fangs,2
n71,weapons,2
n72,tools,2
n73,traps,2
n74,strategy,2
n75,value,2
n76,material,2
n77,plan,2
n78,mistake,2
n79,nature,2
n80,capacity,2
n81,capability,2
n82,achievement,2
n83,quotes,2
n84,animal,2
n85,way,2
n86,solution,2
n87,outcome,2
n88,tabula,2
n89,rasa,2
n90,minds,2
n91,brains,2
n92,ability,2
n93,suicide,2
n94,interests,2
n95,evolution,2
n96,Hamlet,2
n97,morning,2
n98,act,2
n99,haze,2
n100,computer,2
n101,parts,2
n102,brain,2
n103,fish,2
n104,origins,2
n105,leap,2
n106,neuroscientists,2
n107,functions,2
n108,potentialities,2
n109,beauty,2
n110,choices,2
n111,feelings,2
n112,emotions,2
n113,issue,2
n114,psychology,2
n115,extent,2
n116,end,2
n117,storytelling,2
n118,example,2
n119,inclinations,2
n120,sensations,2
n121,thoughts,2
n122,concepts,2
n123,ideas,2
n124,product,2
n125,emotion,2
n126,fact,2
n127,sensation,2
n128,biology,2
n129,categories,2
n130,discussion,2
n131,terms,2
n132,basis,2
n133,definitions,2
n134,questions,2
n135,answer,2
n136,Harris,2
n137,haversacks,2
n138,fan,2
n139,hand,2
n140,I.,2
n141,certainty,2
n142,table,2
n143,beginning,2
n144,mechanism,2
n145,rules,2
n146,logic,2
n147,place,2
n148,A.I.,2
n149,reality,2
n150,bat,2
n151,perceives,2
n152,characteristics,2
n153,identity,2
n154,matter,2
n155,eyes,2
n156,radar,2
n157,system,2
n158,waves,2
n159,existence,2
n160,electronics,2
n161,expertise,2
n162,phenomena,2
n163,thought,2
n164,experiment,2
n165,Donald Hoffman's,2
n166,perception,2
n167,interface,2
n168,Donald Hoffman,2
n169,guy,2
n170,Irvine,2
n171,video,2
n172,Donald,2
n173,philosophy,2
n174,state,2
n175,case,2
n176,box,2
n177,thinking,2
n178,gap,2
n179,Objectivism,2
n180,Moore,2
n181,elements,2
n182,radiation,2
n183,Uranium,2
n184,experimentation,2
n185,screen,2
n186,images,2
n187,statement,2
n188,explanation,2
n189,simulations,2
n190,simulation,2
n191,expert,2
n192,field,2
n193,Emmanual Khan's,2
n194,veneer,2
n195,epistemology,2
n196,semi,2
n197,layman,2
n198,book,2
n199,YouTube,2
n200,flaws,2
n201,arguments,2
n202,weeks,2
n203,friends,2
n204,Hofman,2
n205,theory,2
n206,road,2
